param n1 := 8;
param n2 := 8;
param ADV := 1;
param MM := 1000;
param p
1 1.000000;
param Reward
[1,*,*]:  1   2   3   4   5   6   7   8:=
1   7    -8    -8    -10    -1    -1    -10    -1    
2   -7    8    -8    -10    -1    -1    -10    -1    
3   -7    -8    8    -10    -1    -1    -10    -1    
4   -7    -8    -8    10    -1    -1    -10    -1    
5   -7    -8    -8    -10    1    -1    -10    -1    
6   -7    -8    -8    -10    -1    1    -10    -1    
7   -7    -8    -8    -10    -1    -1    10    -1    
8   -7    -8    -8    -10    -1    -1    -10    1    
;
param AdvReward
[1,*,*]:  1   2   3   4   5   6   7   8:=
1   -7    8 8 10 1 1 10 1 
2   7 -8    8 10 1 1 10 1 
3   7 8 -8    10 1 1 10 1 
4   7 8 8 -10    1 1 10 1 
5   7 8 8 10 -1    1 10 1 
6   7 8 8 10 1 -1    10 1 
7   7 8 8 10 1 1 -10    1 
8   7 8 8 10 1 1 10 -1    
;
